Survived,Pclass,Sex,Age,SibSp,Fare
0,3rd,male,16,0,9.2167
0,1st,male,24,0,79.2
0,3rd,female,,0,15.2458
1,3rd,female,22,0,7.75
1,3rd,female,24,1,15.85
0,3rd,male,19,0,6.75
0,2nd,male,18,0,11.5
0,2nd,male,19,1,36.75
1,3rd,male,27,0,7.7958
0,3rd,female,9,2,34.375
0,2nd,male,36.5,0,26
0,2nd,male,42,0,13
0,2nd,male,51,0,12.525
1,1st,female,22,1,66.6
0,3rd,male,55.5,0,8.05
0,3rd,male,40.5,0,14.5
0,3rd,male,,0,7.3125
0,1st,male,51,0,61.3792
1,3rd,female,16,0,7.7333
0,3rd,male,30,0,8.05
0,3rd,male,,0,8.6625
0,3rd,male,,8,69.55
0,3rd,male,44,0,16.1
1,2nd,female,40,0,15.75
0,3rd,male,26,0,7.775
0,3rd,male,17,0,8.6625
0,3rd,male,1,4,39.6875
1,3rd,male,9,0,20.525
1,1st,female,,0,55
0,3rd,female,45,1,27.9
0,1st,male,,0,25.925
0,3rd,male,28,0,56.4958
0,1st,male,61,0,33.5
0,3rd,male,4,4,29.125
1,3rd,female,1,1,11.1333
0,3rd,male,21,0,7.925
0,1st,male,56,0,30.6958
0,3rd,male,18,1,7.8542
0,3rd,male,,3,25.4667
0,1st,female,50,0,28.7125
0,2nd,male,30,0,13
0,3rd,male,36,0,0
0,3rd,female,,8,69.55
0,2nd,male,,0,15.05
0,3rd,male,9,4,31.3875
1,2nd,male,1,2,39
1,3rd,female,4,0,22.025
0,1st,male,,0,50
1,3rd,female,,1,15.5
1,1st,male,45,0,26.55
0,3rd,male,40,1,15.5
0,3rd,male,36,0,7.8958
1,2nd,female,32,0,13
0,2nd,male,19,0,13
1,3rd,female,19,1,7.8542
1,2nd,male,3,1,26
1,1st,female,44,0,27.7208
1,1st,female,58,0,146.5208
0,3rd,male,,0,7.75
0,3rd,male,42,0,8.4042
1,3rd,female,,0,7.75
0,2nd,female,24,0,13
0,3rd,male,28,0,9.5
0,3rd,male,,8,69.55
0,3rd,male,34,0,6.4958
0,3rd,male,45.5,0,7.225
1,3rd,male,18,0,8.05
0,3rd,female,2,0,10.4625
0,3rd,male,32,1,15.85
1,3rd,male,26,0,18.7875
1,3rd,female,16,0,7.75
1,1st,male,40,0,31
0,3rd,male,24,0,7.05
1,2nd,female,35,0,21
0,3rd,male,22,0,7.25
0,2nd,male,30,0,13
0,3rd,male,,1,7.75
1,1st,female,31,1,113.275
1,3rd,female,27,0,7.925
0,2nd,male,42,1,27
1,1st,female,32,0,76.2917
0,2nd,male,30,0,10.5
1,3rd,male,16,0,8.05
0,2nd,male,27,0,13
0,3rd,male,51,0,8.05
0,3rd,male,,0,7.8958
1,1st,male,38,1,90
0,3rd,male,22,0,9.35
1,2nd,male,19,0,10.5
0,3rd,male,20.5,0,7.25
0,2nd,male,18,0,13
0,3rd,female,,3,25.4667
1,1st,female,35,1,83.475
0,3rd,male,29,0,7.775
0,2nd,male,59,0,13.5
1,3rd,female,5,4,31.3875
0,2nd,male,24,0,10.5
0,3rd,female,,0,7.55
0,2nd,male,44,1,26
1,2nd,female,8,0,26.25
0,2nd,male,19,0,10.5
0,2nd,male,33,0,12.275
0,3rd,female,,1,14.4542
1,3rd,female,,1,15.5
0,2nd,male,29,0,10.5
0,3rd,male,22,0,7.125
0,3rd,male,30,0,7.225
0,1st,male,44,2,90
0,3rd,female,25,0,7.775
1,2nd,female,24,0,14.5
1,1st,male,37,1,52.5542
0,2nd,male,54,1,26
0,3rd,male,,0,7.25
0,3rd,female,29,1,10.4625
0,1st,male,62,0,26.55
0,3rd,male,30,1,16.1
0,3rd,female,41,0,20.2125
1,3rd,female,29,0,15.2458
1,1st,female,,0,79.2
1,1st,female,30,0,86.5
1,1st,female,35,0,512.3292
1,2nd,female,50,0,26
0,3rd,male,,0,7.75
1,3rd,male,3,4,31.3875
0,1st,male,52,1,79.65
0,1st,male,40,0,0
0,3rd,female,,0,7.75
0,2nd,male,36,0,10.5
0,3rd,male,16,4,39.6875
1,3rd,male,25,1,7.775
1,1st,female,58,0,153.4625
1,1st,female,35,0,135.6333
0,1st,male,,0,31
1,3rd,male,25,0,0
1,2nd,female,41,0,19.5
0,1st,male,37,0,29.7
1,3rd,female,,0,7.75
1,1st,female,63,1,77.9583
0,3rd,female,45,0,7.75
0,2nd,male,,0,0
0,3rd,male,7,4,29.125
1,3rd,female,35,1,20.25
0,3rd,male,65,0,7.75
0,3rd,male,28,0,7.8542
0,3rd,male,16,0,9.5
1,3rd,male,19,0,8.05
0,1st,male,,0,26
0,3rd,male,33,0,8.6625
1,3rd,male,30,0,9.5
0,3rd,male,22,0,7.8958
1,2nd,male,42,0,13
1,3rd,female,22,0,7.75
1,1st,female,26,0,78.85
1,1st,female,19,1,91.0792
0,2nd,male,36,0,12.875
0,3rd,female,24,0,8.85
0,3rd,male,24,0,7.8958
0,1st,male,,0,27.7208
0,3rd,male,23.5,0,7.2292
0,1st,female,2,1,151.55
1,1st,male,,0,30.5
1,1st,female,50,0,247.5208
1,3rd,female,,0,7.75
1,3rd,male,,2,23.25
0,3rd,male,19,0,0
1,2nd,female,,0,12.35
0,3rd,male,,0,8.05
1,1st,male,0.92,1,151.55
1,1st,female,,0,110.8833
1,1st,female,17,1,108.9
0,2nd,male,30,1,24
1,1st,female,30,0,56.9292
1,1st,female,24,0,83.1583
1,1st,female,18,2,262.375
0,2nd,female,26,1,26
0,3rd,male,28,0,7.8958
0,2nd,male,43,1,26.25
1,3rd,female,26,0,7.8542
1,2nd,female,24,1,26
0,2nd,male,54,0,14
1,1st,female,31,0,164.8667
1,1st,female,40,1,134.5
0,3rd,male,22,0,7.25
0,3rd,male,27,0,7.8958
1,2nd,female,30,0,12.35
1,2nd,female,22,1,29
0,3rd,male,,8,69.55
1,1st,female,36,0,135.6333
0,3rd,male,61,0,6.2375
1,2nd,female,36,0,13
1,3rd,female,31,1,20.525
1,1st,female,16,0,57.9792
1,3rd,female,,2,23.25
0,1st,male,45.5,0,28.5
0,1st,male,38,0,153.4625
0,3rd,male,16,2,18
1,1st,female,,1,133.65
0,3rd,male,,0,7.8958
0,1st,male,29,1,66.6
1,1st,female,41,0,134.5
1,3rd,male,45,0,8.05
0,1st,male,45,0,35.5
1,2nd,male,2,1,26
1,1st,female,24,3,263
0,2nd,male,28,0,13
0,2nd,male,25,0,13
0,2nd,male,36,0,13
1,2nd,female,24,0,13
1,2nd,female,40,0,13
1,3rd,female,,1,16.1
1,3rd,male,3,1,15.9
0,3rd,male,42,0,8.6625
0,3rd,male,23,0,9.225
0,1st,male,,0,35
0,3rd,male,15,1,7.2292
0,3rd,male,25,1,17.8
0,3rd,male,,0,7.225
0,3rd,male,28,0,9.5
1,1st,female,22,0,55
0,2nd,female,38,0,13
1,3rd,female,,0,7.8792
1,3rd,female,,0,7.8792
0,3rd,male,40,1,27.9
0,2nd,male,29,1,27.7208
0,3rd,female,45,0,14.4542
0,3rd,male,35,0,7.05
0,3rd,male,,1,15.5
0,3rd,male,30,0,7.25
1,1st,female,60,1,75.25
1,3rd,female,,0,7.2292
1,3rd,female,,0,7.75
1,1st,female,24,0,69.3
1,1st,male,25,1,55.4417
0,3rd,male,18,1,6.4958
0,3rd,male,19,0,8.05
0,1st,male,22,0,135.6333
0,3rd,female,3,3,21.075
1,1st,female,,1,82.1708
1,3rd,female,22,0,7.25
0,1st,male,27,0,211.5
0,3rd,male,20,0,4.0125
0,3rd,male,19,0,7.775
1,1st,female,42,0,227.525
1,3rd,female,1,0,15.7417
0,3rd,male,32,0,7.925
1,1st,female,35,1,52
0,3rd,male,,0,7.8958
0,2nd,male,18,0,73.5
0,3rd,male,1,5,46.9
1,2nd,female,36,0,13
0,3rd,male,,0,7.7292
1,2nd,female,17,0,12
1,1st,male,36,1,120
1,3rd,male,21,0,7.7958
0,3rd,male,28,2,7.925
1,1st,female,23,1,113.275
1,3rd,female,24,0,16.7
0,3rd,male,22,0,7.7958
0,3rd,female,31,0,7.8542
0,2nd,male,46,0,26
0,2nd,male,23,0,10.5
1,2nd,female,28,0,12.65
1,3rd,male,39,0,7.925
0,3rd,male,26,0,8.05
0,3rd,female,21,1,9.825
0,3rd,male,28,1,15.85
0,3rd,female,20,0,8.6625
0,2nd,male,34,1,21
0,3rd,male,51,0,7.75
1,2nd,male,3,1,18.75
0,3rd,male,21,0,7.775
0,3rd,female,,3,25.4667
0,3rd,male,,0,7.8958
0,3rd,male,,0,6.8583
1,1st,female,33,1,90
0,2nd,male,,0,0
1,3rd,male,44,0,7.925
0,3rd,female,,0,8.05
1,2nd,female,34,1,32.5
1,2nd,female,18,0,13
0,2nd,male,30,0,13
0,3rd,female,10,0,24.15
0,3rd,male,,0,7.8958
0,3rd,male,21,0,7.7333
0,3rd,male,29,0,7.875
0,3rd,female,28,1,14.4
0,3rd,male,18,1,20.2125
0,3rd,male,,0,7.25
1,2nd,female,28,1,26
1,2nd,female,19,0,26
0,3rd,male,,0,7.75
1,3rd,male,32,0,8.05
1,1st,male,28,0,26.55
1,3rd,female,,1,16.1
1,2nd,female,42,1,26
0,3rd,male,17,0,7.125
0,1st,male,50,1,55.9
1,1st,female,14,1,120
0,3rd,female,21,2,34.375
1,2nd,female,24,2,18.75
0,1st,male,64,1,263
0,2nd,male,31,0,10.5
1,2nd,female,45,1,26.25
0,3rd,male,20,0,9.5
0,3rd,male,25,1,7.775
1,2nd,female,28,0,13
1,3rd,male,,0,8.1125
1,1st,male,4,0,81.8583
1,2nd,female,13,0,19.5
1,1st,male,34,0,26.55
1,3rd,female,5,2,19.2583
1,1st,male,52,0,30.5
0,2nd,male,36,1,27.75
0,3rd,male,,1,19.9667
0,1st,male,30,0,27.75
1,1st,male,49,1,89.1042
0,3rd,male,,0,8.05
1,3rd,male,29,0,7.8958
0,1st,male,65,0,26.55
1,1st,female,,1,51.8625
1,2nd,female,50,0,10.5
0,3rd,male,,0,7.75
1,1st,male,48,0,26.55
0,3rd,male,34,0,8.05
0,1st,male,47,0,38.5
0,2nd,male,48,0,13
0,3rd,male,,0,8.05
0,3rd,male,38,0,7.05
0,2nd,male,,0,0
0,1st,male,56,0,26.55
0,3rd,male,,0,7.725
1,3rd,female,0.75,2,19.2583
0,3rd,male,,0,7.25
0,3rd,male,38,0,8.6625
1,2nd,female,33,1,27.75
1,2nd,female,23,0,13.7917
0,3rd,female,22,0,9.8375
0,1st,male,,0,52
0,2nd,male,34,1,21
0,3rd,male,29,1,7.0458
0,3rd,male,22,0,7.5208
1,3rd,female,2,0,12.2875
0,3rd,male,9,5,46.9
0,2nd,male,,0,0
0,3rd,male,50,0,8.05
1,3rd,female,63,0,9.5875
1,1st,male,25,1,91.0792
0,3rd,female,,3,25.4667
1,1st,female,35,1,90
0,1st,male,58,0,29.7
0,3rd,male,30,0,8.05
1,3rd,male,9,1,15.9
0,3rd,male,,1,19.9667
0,3rd,male,21,0,7.25
0,1st,male,55,0,30.5
0,1st,male,71,0,49.5042
0,3rd,male,21,0,8.05
0,3rd,male,,0,14.4583
1,1st,female,54,1,78.2667
0,3rd,male,,0,15.1
0,1st,female,25,1,151.55
0,3rd,male,24,0,7.7958
0,3rd,male,17,0,8.6625
0,3rd,female,21,0,7.75
0,3rd,female,,0,7.6292
0,3rd,female,37,0,9.5875
1,1st,female,16,0,86.5
0,1st,male,18,1,108.9
1,2nd,female,33,0,26
1,1st,male,,0,26.55
0,3rd,male,28,0,22.525
1,3rd,male,26,0,56.4958
1,3rd,male,29,0,7.75
0,3rd,male,,0,8.05
1,1st,male,36,0,26.2875
1,1st,female,54,1,59.4
0,3rd,male,24,0,7.4958
0,1st,male,47,0,34.0208
1,2nd,female,34,0,10.5
0,3rd,male,,0,24.15
1,2nd,female,36,1,26
0,3rd,male,32,0,7.8958
1,1st,female,30,0,93.5
0,3rd,male,22,0,7.8958
0,3rd,male,,0,7.225
1,1st,female,44,0,57.9792
0,3rd,male,,0,7.2292
0,3rd,male,40.5,0,7.75
1,2nd,female,50,0,10.5
0,1st,male,,0,221.7792
0,3rd,male,39,0,7.925
0,2nd,male,23,2,11.5
1,2nd,female,2,1,26
0,3rd,male,,0,7.2292
0,3rd,male,17,1,7.2292
1,3rd,female,,0,22.3583
0,3rd,female,30,0,8.6625
1,2nd,female,7,0,26.25
0,1st,male,45,0,26.55
1,1st,female,30,0,106.425
0,3rd,male,,0,14.5
1,1st,female,22,0,49.5
1,1st,female,36,0,71
0,3rd,female,9,4,31.275
0,3rd,female,11,4,31.275
1,2nd,male,32,1,26
0,1st,male,50,1,106.425
0,1st,male,64,0,26
1,2nd,female,19,1,26
1,2nd,male,,0,13.8625
0,3rd,male,33,1,20.525
1,2nd,male,8,1,36.75
1,1st,male,17,0,110.8833
0,2nd,male,27,0,26
0,3rd,male,,0,7.8292
1,3rd,male,22,0,7.225
1,3rd,female,22,0,7.775
0,1st,male,62,0,26.55
1,1st,female,48,1,39.6
0,1st,male,,0,227.525
1,1st,female,39,1,79.65
1,3rd,female,36,1,17.4
0,3rd,male,,0,7.75
0,3rd,male,40,0,7.8958
0,2nd,male,28,0,13.5
0,3rd,male,,0,8.05
0,3rd,female,,0,8.05
0,3rd,male,24,2,24.15
0,3rd,male,19,0,7.8958
0,3rd,female,29,0,21.075
0,3rd,male,,0,7.2292
1,3rd,male,32,0,7.8542
1,2nd,male,62,0,10.5
1,1st,female,53,2,51.4792
1,1st,male,36,0,26.3875
1,3rd,female,,0,7.75
0,3rd,male,16,0,8.05
0,3rd,male,19,0,14.5
1,2nd,female,34,0,13
1,1st,female,39,1,55.9
0,3rd,female,,1,14.4583
1,3rd,male,32,0,7.925
1,2nd,female,25,1,30
1,1st,female,39,1,110.8833
0,2nd,male,54,0,26
0,1st,male,36,0,40.125
0,3rd,male,,0,8.7125
1,1st,female,18,0,79.65
0,2nd,male,47,0,15
1,1st,male,60,1,79.2
0,3rd,male,22,0,8.05
0,3rd,male,,0,8.05
0,3rd,male,35,0,7.125
1,1st,female,52,1,78.2667
0,3rd,male,47,0,7.25
0,3rd,female,,0,7.75
0,2nd,male,37,1,26
0,3rd,male,36,1,24.15
1,2nd,female,,0,33
0,3rd,male,49,0,0
0,3rd,male,,0,7.225
1,1st,male,49,1,56.9292
1,2nd,female,24,2,27
0,3rd,male,,0,7.8958
0,1st,male,,0,42.4
0,3rd,male,44,0,8.05
1,1st,male,35,0,26.55
0,3rd,male,36,1,15.55
0,3rd,male,30,0,7.8958
1,1st,male,27,0,30.5
1,2nd,female,22,1,41.5792
1,1st,female,40,0,153.4625
0,3rd,female,39,1,31.275
0,3rd,male,,0,7.05
1,3rd,female,,1,15.5
0,3rd,male,,0,7.75
0,3rd,male,35,0,8.05
1,2nd,female,24,1,65
0,3rd,male,34,1,14.4
0,3rd,female,26,1,16.1
1,2nd,female,4,2,39
0,2nd,male,26,0,10.5
0,3rd,male,27,1,14.4542
1,1st,male,42,1,52.5542
1,3rd,male,20,1,15.7417
0,3rd,male,21,0,7.8542
0,3rd,male,21,0,16.1
0,1st,male,61,0,32.3208
0,2nd,male,57,0,12.35
1,1st,female,21,0,77.9583
0,3rd,male,26,0,7.8958
0,3rd,male,,0,7.7333
1,1st,male,80,0,30
0,3rd,male,51,0,7.0542
1,1st,male,32,0,30.5
0,1st,male,,0,0
0,3rd,female,9,3,27.9
1,2nd,female,28,0,13
0,3rd,male,32,0,7.925
0,2nd,male,31,1,26.25
0,3rd,female,41,0,39.6875
0,3rd,male,,1,16.1
0,3rd,male,20,0,7.8542
1,1st,female,24,0,69.3
0,3rd,female,2,3,27.9
1,3rd,male,,0,56.4958
1,3rd,female,0.75,2,19.2583
1,1st,male,48,1,76.7292
0,3rd,male,19,0,7.8958
1,1st,male,56,0,35.5
0,3rd,male,,0,7.55
1,3rd,female,23,0,7.55
0,3rd,male,,0,7.8958
1,2nd,female,18,0,23
0,3rd,male,21,0,8.4333
1,3rd,female,,0,7.8292
0,3rd,female,18,0,6.75
0,2nd,male,24,2,73.5
0,3rd,male,,0,7.8958
0,3rd,female,32,1,15.5
0,2nd,male,23,0,13
0,1st,male,58,0,113.275
1,1st,male,50,2,133.65
0,3rd,male,40,0,7.225
0,1st,male,47,0,25.5875
0,3rd,male,36,0,7.4958
1,3rd,male,20,1,7.925
0,2nd,male,32,2,73.5
0,2nd,male,25,0,13
0,3rd,male,,0,7.775
0,3rd,male,43,0,8.05
1,1st,female,,1,52
1,2nd,female,40,1,39
0,1st,male,31,1,52
0,2nd,male,70,0,10.5
1,2nd,male,31,0,13
0,2nd,male,,0,0
0,3rd,male,18,0,7.775
0,3rd,male,24.5,0,8.05
1,3rd,female,18,0,9.8417
0,3rd,female,43,1,46.9
1,1st,male,36,0,512.3292
0,3rd,female,,0,8.1375
1,1st,male,27,0,76.7292
0,3rd,male,20,0,9.225
0,3rd,male,14,5,46.9
0,2nd,male,60,1,39
0,2nd,male,25,1,41.5792
0,3rd,male,14,4,39.6875
0,3rd,male,19,0,10.1708
0,3rd,male,18,0,7.7958
1,1st,female,15,0,211.3375
1,1st,male,31,1,57
1,3rd,female,4,0,13.4167
1,3rd,male,,0,56.4958
0,3rd,male,25,0,7.225
0,1st,male,60,0,26.55
0,2nd,male,52,0,13.5
0,3rd,male,44,0,8.05
1,3rd,female,,0,7.7333
0,1st,male,49,1,110.8833
0,3rd,male,42,0,7.65
1,1st,female,18,1,227.525
1,1st,male,35,0,26.2875
0,3rd,female,18,0,14.4542
0,3rd,male,25,0,7.7417
0,3rd,male,26,1,7.8542
0,2nd,male,39,0,26
1,2nd,female,45,0,13.5
1,1st,male,42,0,26.2875
1,1st,female,22,0,151.55
1,3rd,male,,1,15.2458
1,1st,female,24,0,49.5042
0,1st,male,,0,26.55
1,1st,male,48,1,52
0,3rd,male,29,0,9.4833
0,2nd,male,52,0,13
0,3rd,male,19,0,7.65
1,1st,female,38,0,227.525
1,2nd,female,27,0,10.5
0,3rd,male,,0,15.5
0,3rd,male,33,0,7.775
1,2nd,female,6,0,33
0,3rd,male,17,1,7.0542
0,2nd,male,34,0,13
0,2nd,male,50,0,13
1,1st,male,27,1,53.1
0,3rd,male,20,0,8.6625
1,2nd,female,30,3,21
1,3rd,female,,0,7.7375
0,2nd,male,25,1,26
0,3rd,female,25,1,7.925
1,1st,female,29,0,211.3375
0,3rd,male,11,0,18.7875
0,2nd,male,,0,0
0,2nd,male,23,0,13
0,2nd,male,23,0,13
0,3rd,male,28.5,0,16.1
0,3rd,female,48,1,34.375
1,1st,male,35,0,512.3292
0,3rd,male,,0,7.8958
0,3rd,male,,0,7.8958
1,1st,male,,0,30
0,1st,male,36,1,78.85
1,1st,female,21,2,262.375
0,3rd,male,24,1,16.1
1,3rd,male,31,0,7.925
0,1st,male,70,1,71
0,3rd,male,16,1,20.25
1,2nd,female,30,0,13
0,1st,male,19,1,53.1
0,3rd,male,31,0,7.75
1,2nd,female,4,1,23
1,3rd,male,6,0,12.475
0,3rd,male,33,0,9.5
0,3rd,male,23,0,7.8958
1,2nd,female,48,1,65
1,2nd,male,0.67,1,14.5
0,3rd,male,28,0,7.7958
0,2nd,male,18,0,11.5
0,3rd,male,34,0,8.05
1,1st,female,33,0,86.5
0,3rd,male,,0,14.5
0,3rd,male,41,0,7.125
1,3rd,male,20,0,7.2292
1,1st,female,36,1,120
0,3rd,male,16,0,7.775
1,1st,female,51,1,77.9583
0,1st,male,,0,39.6
0,3rd,female,30.5,0,7.75
0,3rd,male,,1,24.15
0,3rd,male,32,0,8.3625
0,3rd,male,24,0,9.5
0,3rd,male,48,0,7.8542
0,2nd,female,57,0,10.5
0,3rd,male,,0,7.225
1,2nd,female,54,1,23
0,3rd,male,18,0,7.75
0,3rd,male,,0,7.75
1,3rd,female,5,0,12.475
0,3rd,male,,0,7.7375
1,1st,female,43,0,211.3375
1,3rd,female,13,0,7.2292
1,1st,female,17,1,57
0,1st,male,29,0,30
0,3rd,male,,1,23.45
0,3rd,male,25,0,7.05
0,3rd,male,25,0,7.25
1,3rd,female,18,0,7.4958
0,3rd,male,8,4,29.125
1,3rd,male,1,1,20.575
0,1st,male,46,0,79.2
0,3rd,male,,0,7.75
0,2nd,male,16,0,26
0,3rd,female,,8,69.55
0,1st,male,,0,30.6958
0,3rd,male,25,0,7.8958
0,2nd,male,39,0,13
1,1st,female,49,0,25.9292
1,3rd,female,31,0,8.6833
0,3rd,male,30,0,7.2292
0,3rd,female,30,1,24.15
0,2nd,male,34,0,13
1,2nd,female,31,1,26.25
1,1st,male,11,1,120
1,3rd,male,0.42,0,8.5167
1,3rd,male,27,0,6.975
0,3rd,male,31,0,7.775
0,1st,male,39,0,0
0,3rd,female,18,0,7.775
0,2nd,male,39,0,13
1,1st,female,33,1,53.1
0,3rd,male,26,0,7.8875
0,3rd,male,39,0,24.15
0,2nd,male,35,0,10.5
0,3rd,female,6,4,31.275
0,3rd,male,30.5,0,8.05
0,1st,male,,0,0
0,3rd,female,23,0,7.925
0,2nd,male,31,1,37.0042
0,3rd,male,43,0,6.45
0,3rd,male,10,3,27.9
1,1st,female,52,1,93.5
1,3rd,male,27,0,8.6625
0,1st,male,38,0,0
1,3rd,female,27,0,12.475
0,3rd,male,2,4,39.6875
0,3rd,male,,0,6.95
0,3rd,male,,0,56.4958
1,2nd,male,1,0,37.0042
1,3rd,male,,0,7.75
1,1st,female,62,0,80
1,3rd,female,15,1,14.4542
1,2nd,male,0.83,1,18.75
0,3rd,male,,0,7.2292
0,3rd,male,23,0,7.8542
0,3rd,male,18,0,8.3
1,1st,female,39,1,83.1583
0,3rd,male,21,0,8.6625
0,3rd,male,,0,8.05
1,3rd,male,32,0,56.4958
1,1st,male,,0,29.7
0,3rd,male,20,0,7.925
0,2nd,male,16,0,10.5
1,1st,female,30,0,31
0,3rd,male,34.5,0,6.4375
0,3rd,male,17,0,8.6625
0,3rd,male,42,0,7.55
0,3rd,male,,8,69.55
0,3rd,male,35,0,7.8958
0,2nd,male,28,0,33
1,1st,female,,1,89.1042
0,3rd,male,4,4,31.275
0,3rd,male,74,0,7.775
0,3rd,female,9,1,15.2458
1,1st,female,16,0,39.4
0,2nd,female,44,1,26
1,3rd,female,18,0,9.35
1,1st,female,45,1,164.8667
1,1st,male,51,0,26.55
1,3rd,female,24,0,19.2583
0,3rd,male,,0,7.2292
0,3rd,male,41,2,14.1083
0,2nd,male,21,1,11.5
1,1st,female,48,0,25.9292
0,3rd,female,,8,69.55
0,2nd,male,24,0,13
1,2nd,female,42,0,13
1,2nd,female,27,1,13.8583
0,1st,male,31,0,50.4958
0,3rd,male,,0,9.5
1,3rd,male,4,1,11.1333
0,3rd,male,26,0,7.8958
1,1st,female,47,1,52.5542
0,1st,male,33,0,5
0,3rd,male,47,0,9
1,2nd,female,28,1,24
1,3rd,female,15,0,7.225
0,3rd,male,20,0,9.8458
0,3rd,male,19,0,7.8958
0,3rd,male,,0,7.8958
1,1st,female,56,0,83.1583
1,2nd,female,25,0,26
0,3rd,male,33,0,7.8958
0,3rd,female,22,0,10.5167
0,2nd,male,28,0,10.5
0,3rd,male,25,0,7.05
0,3rd,female,39,0,29.125
0,2nd,male,27,0,13
1,1st,female,19,0,30
0,3rd,female,,1,23.45
1,1st,male,26,0,30
0,3rd,male,32,0,7.75
